,Cant_Loose
0,12380.0
1,12391.0
2,12451.0
3,12455.0
4,12482.0
5,12484.0
6,12539.0
7,12631.0
8,12758.0
9,12854.0
10,12911.0
11,12957.0
12,13015.0
13,13042.0
14,13044.0
15,13048.0
16,13243.0
17,13334.0
18,13357.0
19,13443.0
20,13503.0
21,13595.0
22,13680.0
23,13764.0
24,13782.0
25,14112.0
26,14221.0
27,14375.0
28,14514.0
29,14556.0
30,14653.0
31,14669.0
32,14685.0
33,14701.0
34,14770.0
35,14855.0
36,14857.0
37,14930.0
38,15003.0
39,15013.0
40,15015.0
41,15150.0
42,15222.0
43,15272.0
44,15321.0
45,15443.0
46,15480.0
47,15494.0
48,15542.0
49,15563.0
50,15633.0
51,15673.0
52,15751.0
53,15768.0
54,15861.0
55,15911.0
56,15917.0
57,15972.0
58,15990.0
59,16032.0
60,16180.0
61,16271.0
62,16290.0
63,16320.0
64,16335.0
65,16340.0
66,16461.0
67,16736.0
68,16743.0
69,16755.0
70,16771.0
71,16798.0
72,16805.0
73,16894.0
74,16940.0
75,16986.0
76,17032.0
77,17092.0
78,17113.0
79,17145.0
80,17157.0
81,17201.0
82,17230.0
83,17348.0
84,17400.0
85,17426.0
86,17448.0
87,17539.0
88,17585.0
89,17602.0
90,17610.0
91,17625.0
92,17962.0
93,17969.0
94,18009.0
95,18096.0
96,18106.0
97,18196.0
98,18257.0
