,Loyal_Customers
0,12349.0
1,12356.0
2,12357.0
3,12359.0
4,12369.0
5,12371.0
6,12377.0
7,12409.0
8,12412.0
9,12417.0
10,12418.0
11,12422.0
12,12424.0
13,12435.0
14,12437.0
15,12476.0
16,12477.0
17,12480.0
18,12500.0
19,12511.0
20,12524.0
21,12530.0
22,12573.0
23,12577.0
24,12582.0
25,12589.0
26,12599.0
27,12613.0
28,12615.0
29,12623.0
30,12633.0
31,12635.0
32,12644.0
33,12645.0
34,12649.0
35,12656.0
36,12676.0
37,12705.0
38,12714.0
39,12721.0
40,12724.0
41,12733.0
42,12749.0
43,12759.0
44,12778.0
45,12806.0
46,12820.0
47,12835.0
48,12836.0
49,12843.0
50,12849.0
51,12853.0
52,12862.0
53,12867.0
54,12876.0
55,12877.0
56,12909.0
57,12926.0
58,12931.0
59,12933.0
60,12949.0
61,12951.0
62,12960.0
63,12970.0
64,12972.0
65,12978.0
66,12982.0
67,12986.0
68,13001.0
69,13004.0
70,13012.0
71,13014.0
72,13018.0
73,13031.0
74,13032.0
75,13037.0
76,13052.0
77,13055.0
78,13059.0
79,13092.0
80,13097.0
81,13107.0
82,13124.0
83,13131.0
84,13137.0
85,13141.0
86,13148.0
87,13152.0
88,13154.0
89,13156.0
90,13157.0
91,13162.0
92,13178.0
93,13183.0
94,13198.0
95,13202.0
96,13203.0
97,13206.0
98,13211.0
99,13213.0
100,13214.0
101,13225.0
102,13246.0
103,13259.0
104,13263.0
105,13266.0
106,13276.0
107,13278.0
108,13291.0
109,13293.0
110,13297.0
111,13316.0
112,13317.0
113,13340.0
114,13360.0
115,13373.0
116,13377.0
117,13382.0
118,13384.0
119,13387.0
120,13421.0
121,13426.0
122,13431.0
123,13439.0
124,13446.0
125,13451.0
126,13462.0
127,13464.0
128,13527.0
129,13538.0
130,13544.0
131,13552.0
132,13554.0
133,13557.0
134,13561.0
135,13562.0
136,13566.0
137,13567.0
138,13571.0
139,13574.0
140,13577.0
141,13593.0
142,13601.0
143,13610.0
144,13614.0
145,13615.0
146,13617.0
147,13623.0
148,13632.0
149,13643.0
150,13648.0
151,13654.0
152,13658.0
153,13659.0
154,13662.0
155,13663.0
156,13665.0
157,13668.0
158,13671.0
159,13677.0
160,13684.0
161,13707.0
162,13711.0
163,13713.0
164,13719.0
165,13722.0
166,13728.0
167,13736.0
168,13738.0
169,13740.0
170,13760.0
171,13772.0
172,13815.0
173,13820.0
174,13821.0
175,13823.0
176,13849.0
177,13857.0
178,13869.0
179,13870.0
180,13871.0
181,13875.0
182,13883.0
183,13888.0
184,13889.0
185,13920.0
186,13931.0
187,13939.0
188,13952.0
189,13959.0
190,13971.0
191,13975.0
192,13979.0
193,14004.0
194,14016.0
195,14035.0
196,14038.0
197,14040.0
198,14044.0
199,14049.0
200,14052.0
201,14057.0
202,14064.0
203,14080.0
204,14087.0
205,14088.0
206,14104.0
207,14105.0
208,14110.0
209,14127.0
210,14134.0
211,14136.0
212,14146.0
213,14152.0
214,14154.0
215,14169.0
216,14175.0
217,14177.0
218,14186.0
219,14194.0
220,14204.0
221,14205.0
222,14209.0
223,14211.0
224,14224.0
225,14225.0
226,14227.0
227,14239.0
228,14247.0
229,14249.0
230,14257.0
231,14258.0
232,14277.0
233,14286.0
234,14291.0
235,14292.0
236,14309.0
237,14327.0
238,14334.0
239,14341.0
240,14343.0
241,14346.0
242,14379.0
243,14382.0
244,14399.0
245,14401.0
246,14413.0
247,14417.0
248,14420.0
249,14426.0
250,14442.0
251,14451.0
252,14452.0
253,14455.0
254,14461.0
255,14465.0
256,14467.0
257,14469.0
258,14478.0
259,14481.0
