,Need_Attention
0,12374.0
1,12379.0
2,12389.0
3,12458.0
4,12486.0
5,12505.0
6,12516.0
7,12537.0
8,12639.0
9,12694.0
10,12696.0
11,12699.0
12,12903.0
13,12987.0
14,12989.0
15,13082.0
16,13195.0
17,13233.0
18,13241.0
19,13253.0
20,13296.0
21,13299.0
22,13320.0
23,13324.0
24,13333.0
25,13359.0
26,13363.0
27,13440.0
28,13461.0
29,13466.0
30,13476.0
31,13480.0
32,13537.0
33,13539.0
34,13547.0
35,13591.0
36,13642.0
37,13692.0
38,13700.0
39,13703.0
40,13729.0
41,13763.0
42,13770.0
43,13780.0
44,13800.0
45,13803.0
46,13832.0
47,13840.0
48,13898.0
49,13909.0
50,13919.0
51,13921.0
52,13929.0
53,13937.0
54,14000.0
55,14075.0
56,14181.0
57,14183.0
58,14219.0
59,14230.0
60,14276.0
61,14290.0
62,14301.0
63,14321.0
64,14324.0
65,14389.0
66,14398.0
67,14400.0
68,14412.0
69,14425.0
70,14462.0
71,14480.0
72,14484.0
73,14568.0
74,14624.0
75,14644.0
76,14665.0
77,14699.0
78,14700.0
79,14742.0
80,14847.0
81,14870.0
82,14912.0
83,14916.0
84,14998.0
85,15105.0
86,15151.0
87,15190.0
88,15196.0
89,15243.0
90,15245.0
91,15370.0
92,15420.0
93,15439.0
94,15481.0
95,15535.0
96,15549.0
97,15562.0
98,15608.0
99,15677.0
100,15696.0
101,15773.0
102,15799.0
103,15807.0
104,15886.0
105,15887.0
106,15920.0
107,15948.0
108,16040.0
109,16054.0
110,16096.0
111,16117.0
112,16130.0
113,16214.0
114,16266.0
115,16331.0
116,16332.0
117,16343.0
118,16382.0
119,16384.0
120,16414.0
121,16465.0
122,16472.0
123,16491.0
124,16496.0
125,16540.0
126,16551.0
127,16574.0
128,16576.0
129,16584.0
130,16623.0
131,16676.0
132,16677.0
133,16776.0
134,16780.0
135,16785.0
136,16859.0
137,16975.0
138,17023.0
139,17038.0
140,17070.0
141,17127.0
142,17236.0
143,17254.0
144,17276.0
145,17316.0
146,17325.0
147,17351.0
148,17373.0
149,17388.0
150,17393.0
151,17397.0
152,17473.0
153,17478.0
154,17621.0
155,17708.0
156,17834.0
157,18016.0
158,18078.0
159,18090.0
160,18110.0
161,18112.0
162,18136.0
163,18141.0
164,18241.0
165,18247.0
