,loyal_customers
0,12349.0
1,12352.0
2,12356.0
3,12357.0
4,12359.0
5,12360.0
6,12370.0
7,12371.0
8,12380.0
9,12388.0
10,12391.0
11,12395.0
12,12397.0
13,12398.0
14,12406.0
15,12407.0
16,12408.0
17,12415.0
18,12428.0
19,12431.0
20,12432.0
21,12438.0
22,12444.0
23,12449.0
24,12456.0
25,12457.0
26,12462.0
27,12463.0
28,12472.0
29,12473.0
30,12474.0
31,12476.0
32,12477.0
33,12480.0
34,12481.0
35,12483.0
36,12484.0
37,12494.0
38,12500.0
39,12508.0
40,12517.0
41,12523.0
42,12530.0
43,12536.0
44,12539.0
45,12540.0
46,12546.0
47,12556.0
48,12567.0
49,12576.0
50,12577.0
51,12578.0
52,12594.0
53,12597.0
54,12599.0
55,12600.0
56,12607.0
57,12610.0
58,12611.0
59,12613.0
60,12619.0
61,12620.0
62,12626.0
63,12633.0
64,12637.0
65,12645.0
66,12647.0
67,12656.0
68,12674.0
69,12678.0
70,12681.0
71,12685.0
72,12689.0
73,12705.0
74,12708.0
75,12709.0
76,12712.0
77,12721.0
78,12726.0
79,12731.0
80,12744.0
81,12753.0
82,12757.0
83,12759.0
84,12775.0
85,12779.0
86,12836.0
87,12838.0
88,12843.0
89,12847.0
90,12865.0
91,12867.0
92,12876.0
93,12885.0
94,12886.0
95,12890.0
96,12904.0
97,12909.0
98,12910.0
99,12928.0
100,12931.0
101,12933.0
102,12936.0
103,12937.0
104,12940.0
105,12948.0
106,12949.0
107,12997.0
108,13015.0
109,13018.0
110,13032.0
111,13047.0
112,13048.0
113,13050.0
114,13097.0
115,13110.0
116,13117.0
117,13118.0
118,13136.0
119,13138.0
120,13139.0
121,13148.0
122,13149.0
123,13155.0
124,13157.0
125,13167.0
126,13168.0
127,13174.0
128,13176.0
129,13178.0
130,13184.0
131,13186.0
132,13208.0
133,13209.0
134,13212.0
135,13213.0
136,13224.0
137,13246.0
138,13259.0
139,13265.0
140,13268.0
141,13271.0
142,13285.0
143,13310.0
144,13313.0
145,13316.0
146,13317.0
147,13324.0
148,13327.0
149,13340.0
150,13344.0
151,13363.0
152,13365.0
153,13373.0
154,13379.0
155,13381.0
156,13384.0
157,13421.0
158,13422.0
159,13437.0
160,13447.0
161,13448.0
162,13450.0
163,13451.0
164,13456.0
165,13477.0
166,13481.0
167,13488.0
168,13491.0
169,13500.0
170,13517.0
171,13520.0
172,13523.0
173,13527.0
174,13532.0
175,13544.0
176,13552.0
177,13566.0
178,13569.0
179,13577.0
180,13588.0
181,13601.0
182,13607.0
183,13614.0
184,13623.0
185,13627.0
186,13629.0
187,13632.0
188,13634.0
189,13635.0
190,13636.0
191,13637.0
192,13644.0
193,13650.0
194,13652.0
195,13654.0
196,13673.0
197,13695.0
198,13700.0
199,13717.0
200,13719.0
201,13725.0
202,13728.0
203,13735.0
204,13742.0
205,13761.0
206,13764.0
207,13771.0
208,13772.0
209,13804.0
210,13813.0
211,13815.0
212,13827.0
213,13831.0
214,13842.0
215,13849.0
216,13862.0
217,13867.0
218,13871.0
219,13875.0
220,13880.0
221,13895.0
222,13911.0
223,13971.0
224,13975.0
225,13982.0
226,13983.0
227,13988.0
228,13993.0
229,13995.0
230,14004.0
231,14019.0
232,14030.0
233,14034.0
234,14035.0
235,14040.0
236,14044.0
237,14049.0
238,14057.0
239,14064.0
240,14099.0
241,14107.0
242,14112.0
243,14116.0
244,14159.0
245,14175.0
246,14179.0
247,14188.0
248,14211.0
249,14214.0
250,14221.0
251,14226.0
252,14227.0
253,14232.0
254,14234.0
255,14239.0
256,14257.0
257,14277.0
258,14286.0
259,14297.0
260,14305.0
261,14312.0
262,14315.0
263,14329.0
264,14334.0
265,14335.0
266,14336.0
267,14341.0
268,14360.0
269,14382.0
270,14383.0
271,14387.0
272,14396.0
273,14404.0
274,14426.0
275,14443.0
276,14447.0
277,14449.0
278,14451.0
279,14462.0
280,14466.0
281,14467.0
282,14482.0
283,14487.0
284,14498.0
285,14499.0
286,14502.0
287,14504.0
288,14505.0
289,14506.0
290,14507.0
291,14514.0
292,14515.0
293,14524.0
294,14525.0
295,14529.0
296,14530.0
297,14533.0
298,14535.0
299,14541.0
300,14543.0
301,14544.0
302,14553.0
303,14587.0
304,14591.0
305,14592.0
306,14593.0
307,14595.0
308,14607.0
309,14623.0
310,14626.0
311,14639.0
